"","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Cabin","Embarked","Age_Segmented","Fare_Segmented","Name","Family_Size","Family_Segmented"
"1","0","3","male",22,1,0,7.25,"N","S","21-30","0-8","Mr.",2,"SmallFam"
"2","1","1","female",38,1,0,71.2833,"C","C","31-40","31-99","Mrs.",2,"SmallFam"
"3","1","3","female",26,0,0,7.925,"N","S","21-30","0-8","Miss.",1,"Single"
"4","1","1","female",35,1,0,53.1,"C","S","31-40","31-99","Mrs.",2,"SmallFam"
"5","0","3","male",35,0,0,8.05,"N","S","31-40","8-15","Mr.",1,"Single"
"6","0","3","male",28,0,0,8.4583,"N","Q","21-30","8-15","Mr.",1,"Single"
"7","0","1","male",54,0,0,51.8625,"E","S","51-60","31-99","Mr.",1,"Single"
"8","0","3","male",2,3,1,21.075,"N","S","0-10","15-31","Master.",5,"MediumFam"
"9","1","3","female",27,0,2,11.1333,"N","S","21-30","8-15","Mrs.",3,"SmallFam"
"10","1","2","female",14,1,0,30.0708,"N","C","11-20","15-31","Mrs.",2,"SmallFam"
"11","1","3","female",4,1,1,16.7,"G","S","0-10","15-31","Miss.",3,"SmallFam"
"12","1","1","female",58,0,0,26.55,"C","S","51-60","15-31","Miss.",1,"Single"
"13","0","3","male",20,0,0,8.05,"N","S","11-20","8-15","Mr.",1,"Single"
"14","0","3","male",39,1,5,31.275,"N","S","31-40","31-99","Mr.",7,"LargeFam"
"15","0","3","female",14,0,0,7.8542,"N","S","11-20","0-8","Miss.",1,"Single"
"16","1","2","female",55,0,0,16,"N","S","51-60","15-31","Mrs.",1,"Single"
"17","0","3","male",2,4,1,29.125,"N","Q","0-10","15-31","Master.",6,"LargeFam"
"18","1","2","male",28,0,0,13,"N","S","21-30","8-15","Mr.",1,"Single"
"19","0","3","female",31,1,0,18,"N","S","31-40","15-31","Mrs.",2,"SmallFam"
"20","1","3","female",27,0,0,7.225,"N","C","21-30","0-8","Mrs.",1,"Single"
"21","0","2","male",35,0,0,26,"N","S","31-40","15-31","Mr.",1,"Single"
"22","1","2","male",34,0,0,13,"D","S","31-40","8-15","Mr.",1,"Single"
"23","1","3","female",15,0,0,8.0292,"N","Q","11-20","8-15","Miss.",1,"Single"
"24","1","1","male",28,0,0,35.5,"A","S","21-30","31-99","Mr.",1,"Single"
"25","0","3","female",8,3,1,21.075,"N","S","0-10","15-31","Miss.",5,"MediumFam"
"26","1","3","female",38,1,5,31.3875,"N","S","31-40","31-99","Mrs.",7,"LargeFam"
"27","0","3","male",28,0,0,7.225,"N","C","21-30","0-8","Mr.",1,"Single"
"28","0","1","male",19,3,2,263,"C","S","11-20","200-600","Mr.",6,"LargeFam"
"29","1","3","female",27,0,0,7.8792,"N","Q","21-30","0-8","Miss.",1,"Single"
"30","0","3","male",28,0,0,7.8958,"N","S","21-30","0-8","Mr.",1,"Single"
"31","0","1","male",40,0,0,27.7208,"N","C","31-40","15-31","Otros.",1,"Single"
"32","1","1","female",27,1,0,146.5208,"B","C","21-30","99-200","Mrs.",2,"SmallFam"
"33","1","3","female",27,0,0,7.75,"N","Q","21-30","0-8","Miss.",1,"Single"
"34","0","2","male",66,0,0,10.5,"N","S","61-70","8-15","Mr.",1,"Single"
"35","0","1","male",28,1,0,82.1708,"N","C","21-30","31-99","Mr.",2,"SmallFam"
"36","0","1","male",42,1,0,52,"N","S","41-50","31-99","Mr.",2,"SmallFam"
"37","1","3","male",28,0,0,7.2292,"N","C","21-30","0-8","Mr.",1,"Single"
"38","0","3","male",21,0,0,8.05,"N","S","21-30","8-15","Mr.",1,"Single"
"39","0","3","female",18,2,0,18,"N","S","11-20","15-31","Miss.",3,"SmallFam"
"40","1","3","female",14,1,0,11.2417,"N","C","11-20","8-15","Miss.",2,"SmallFam"
"41","0","3","female",40,1,0,9.475,"N","S","31-40","8-15","Mrs.",2,"SmallFam"
"42","0","2","female",27,1,0,21,"N","S","21-30","15-31","Mrs.",2,"SmallFam"
"43","0","3","male",28,0,0,7.8958,"N","C","21-30","0-8","Mr.",1,"Single"
"44","1","2","female",3,1,2,41.5792,"N","C","0-10","31-99","Miss.",4,"MediumFam"
"45","1","3","female",19,0,0,7.8792,"N","Q","11-20","0-8","Miss.",1,"Single"
"46","0","3","male",28,0,0,8.05,"N","S","21-30","8-15","Mr.",1,"Single"
"47","0","3","male",28,1,0,15.5,"N","Q","21-30","15-31","Mr.",2,"SmallFam"
"48","1","3","female",27,0,0,7.75,"N","Q","21-30","0-8","Miss.",1,"Single"
"49","0","3","male",28,2,0,21.6792,"N","C","21-30","15-31","Mr.",3,"SmallFam"
"50","0","3","female",18,1,0,17.8,"N","S","11-20","15-31","Mrs.",2,"SmallFam"
"51","0","3","male",7,4,1,39.6875,"N","S","0-10","31-99","Master.",6,"LargeFam"
"52","0","3","male",21,0,0,7.8,"N","S","21-30","0-8","Mr.",1,"Single"
"53","1","1","female",49,1,0,76.7292,"D","C","41-50","31-99","Mrs.",2,"SmallFam"
"54","1","2","female",29,1,0,26,"N","S","21-30","15-31","Mrs.",2,"SmallFam"
"55","0","1","male",65,0,1,61.9792,"B","C","61-70","31-99","Mr.",2,"SmallFam"
"56","1","1","male",28,0,0,35.5,"C","S","21-30","31-99","Mr.",1,"Single"
"57","1","2","female",21,0,0,10.5,"N","S","21-30","8-15","Miss.",1,"Single"
"58","0","3","male",28.5,0,0,7.2292,"N","C","21-30","0-8","Mr.",1,"Single"
"59","1","2","female",5,1,2,27.75,"N","S","0-10","15-31","Miss.",4,"MediumFam"
"60","0","3","male",11,5,2,46.9,"N","S","11-20","31-99","Master.",8,"LargeFam"
"61","0","3","male",22,0,0,7.2292,"N","C","21-30","0-8","Mr.",1,"Single"
"62","1","1","female",38,0,0,80,"B","S","31-40","31-99","Miss.",1,"Single"
"63","0","1","male",45,1,0,83.475,"C","S","41-50","31-99","Mr.",2,"SmallFam"
"64","0","3","male",4,3,2,27.9,"N","S","0-10","15-31","Master.",6,"LargeFam"
"65","0","1","male",28,0,0,27.7208,"N","C","21-30","15-31","Mr.",1,"Single"
"66","1","3","male",28,1,1,15.2458,"N","C","21-30","15-31","Master.",3,"SmallFam"
"67","1","2","female",29,0,0,10.5,"F","S","21-30","8-15","Mrs.",1,"Single"
"68","0","3","male",19,0,0,8.1583,"N","S","11-20","8-15","Mr.",1,"Single"
"69","1","3","female",17,4,2,7.925,"N","S","11-20","0-8","Miss.",7,"LargeFam"
"70","0","3","male",26,2,0,8.6625,"N","S","21-30","8-15","Mr.",3,"SmallFam"
"71","0","2","male",32,0,0,10.5,"N","S","31-40","8-15","Mr.",1,"Single"
"72","0","3","female",16,5,2,46.9,"N","S","11-20","31-99","Miss.",8,"LargeFam"
"73","0","2","male",21,0,0,73.5,"N","S","21-30","31-99","Mr.",1,"Single"
"74","0","3","male",26,1,0,14.4542,"N","C","21-30","8-15","Mr.",2,"SmallFam"
"75","1","3","male",32,0,0,56.4958,"N","S","31-40","31-99","Mr.",1,"Single"
"76","0","3","male",25,0,0,7.65,"F","S","21-30","0-8","Mr.",1,"Single"
"77","0","3","male",28,0,0,7.8958,"N","S","21-30","0-8","Mr.",1,"Single"
"78","0","3","male",28,0,0,8.05,"N","S","21-30","8-15","Mr.",1,"Single"
"79","1","2","male",0.83,0,2,29,"N","S","0-10","15-31","Master.",3,"SmallFam"
"80","1","3","female",30,0,0,12.475,"N","S","21-30","8-15","Miss.",1,"Single"
"81","0","3","male",22,0,0,9,"N","S","21-30","8-15","Mr.",1,"Single"
"82","1","3","male",29,0,0,9.5,"N","S","21-30","8-15","Mr.",1,"Single"
"83","1","3","female",27,0,0,7.7875,"N","Q","21-30","0-8","Miss.",1,"Single"
"84","0","1","male",28,0,0,47.1,"N","S","21-30","31-99","Mr.",1,"Single"
"85","1","2","female",17,0,0,10.5,"N","S","11-20","8-15","Miss.",1,"Single"
"86","1","3","female",33,3,0,15.85,"N","S","31-40","15-31","Mrs.",4,"MediumFam"
"87","0","3","male",16,1,3,34.375,"N","S","11-20","31-99","Mr.",5,"MediumFam"
"88","0","3","male",28,0,0,8.05,"N","S","21-30","8-15","Mr.",1,"Single"
"89","1","1","female",23,3,2,263,"C","S","21-30","200-600","Miss.",6,"LargeFam"
"90","0","3","male",24,0,0,8.05,"N","S","21-30","8-15","Mr.",1,"Single"
"91","0","3","male",29,0,0,8.05,"N","S","21-30","8-15","Mr.",1,"Single"
"92","0","3","male",20,0,0,7.8542,"N","S","11-20","0-8","Mr.",1,"Single"
"93","0","1","male",46,1,0,61.175,"E","S","41-50","31-99","Mr.",2,"SmallFam"
"94","0","3","male",26,1,2,20.575,"N","S","21-30","15-31","Mr.",4,"MediumFam"
"95","0","3","male",59,0,0,7.25,"N","S","51-60","0-8","Mr.",1,"Single"
"96","0","3","male",28,0,0,8.05,"N","S","21-30","8-15","Mr.",1,"Single"
"97","0","1","male",71,0,0,34.6542,"A","C","71-80","31-99","Mr.",1,"Single"
"98","1","1","male",23,0,1,63.3583,"D","C","21-30","31-99","Mr.",2,"SmallFam"
"99","1","2","female",34,0,1,23,"N","S","31-40","15-31","Mrs.",2,"SmallFam"
"100","0","2","male",34,1,0,26,"N","S","31-40","15-31","Mr.",2,"SmallFam"
"101","0","3","female",28,0,0,7.8958,"N","S","21-30","0-8","Miss.",1,"Single"
"102","0","3","male",28,0,0,7.8958,"N","S","21-30","0-8","Mr.",1,"Single"
"103","0","1","male",21,0,1,77.2875,"D","S","21-30","31-99","Mr.",2,"SmallFam"
"104","0","3","male",33,0,0,8.6542,"N","S","31-40","8-15","Mr.",1,"Single"
"105","0","3","male",37,2,0,7.925,"N","S","31-40","0-8","Mr.",3,"SmallFam"
"106","0","3","male",28,0,0,7.8958,"N","S","21-30","0-8","Mr.",1,"Single"
"107","1","3","female",21,0,0,7.65,"N","S","21-30","0-8","Miss.",1,"Single"
"108","1","3","male",28,0,0,7.775,"N","S","21-30","0-8","Mr.",1,"Single"
"109","0","3","male",38,0,0,7.8958,"N","S","31-40","0-8","Mr.",1,"Single"
"110","1","3","female",27,1,0,24.15,"N","Q","21-30","15-31","Miss.",2,"SmallFam"
"111","0","1","male",47,0,0,52,"C","S","41-50","31-99","Mr.",1,"Single"
"112","0","3","female",14.5,1,0,14.4542,"N","C","11-20","8-15","Miss.",2,"SmallFam"
"113","0","3","male",22,0,0,8.05,"N","S","21-30","8-15","Mr.",1,"Single"
"114","0","3","female",20,1,0,9.825,"N","S","11-20","8-15","Miss.",2,"SmallFam"
"115","0","3","female",17,0,0,14.4583,"N","C","11-20","8-15","Miss.",1,"Single"
"116","0","3","male",21,0,0,7.925,"N","S","21-30","0-8","Mr.",1,"Single"
"117","0","3","male",70.5,0,0,7.75,"N","Q","71-80","0-8","Mr.",1,"Single"
"118","0","2","male",29,1,0,21,"N","S","21-30","15-31","Mr.",2,"SmallFam"
"119","0","1","male",24,0,1,247.5208,"B","C","21-30","200-600","Mr.",2,"SmallFam"
"120","0","3","female",2,4,2,31.275,"N","S","0-10","31-99","Miss.",7,"LargeFam"
"121","0","2","male",21,2,0,73.5,"N","S","21-30","31-99","Mr.",3,"SmallFam"
"122","0","3","male",28,0,0,8.05,"N","S","21-30","8-15","Mr.",1,"Single"
"123","0","2","male",32.5,1,0,30.0708,"N","C","31-40","15-31","Mr.",2,"SmallFam"
"124","1","2","female",32.5,0,0,13,"E","S","31-40","8-15","Miss.",1,"Single"
"125","0","1","male",54,0,1,77.2875,"D","S","51-60","31-99","Mr.",2,"SmallFam"
"126","1","3","male",12,1,0,11.2417,"N","C","11-20","8-15","Master.",2,"SmallFam"
"127","0","3","male",28,0,0,7.75,"N","Q","21-30","0-8","Mr.",1,"Single"
"128","1","3","male",24,0,0,7.1417,"N","S","21-30","0-8","Mr.",1,"Single"
"129","1","3","female",27,1,1,22.3583,"F","C","21-30","15-31","Miss.",3,"SmallFam"
"130","0","3","male",45,0,0,6.975,"N","S","41-50","0-8","Mr.",1,"Single"
"131","0","3","male",33,0,0,7.8958,"N","C","31-40","0-8","Mr.",1,"Single"
"132","0","3","male",20,0,0,7.05,"N","S","11-20","0-8","Mr.",1,"Single"
"133","0","3","female",47,1,0,14.5,"N","S","41-50","8-15","Mrs.",2,"SmallFam"
"134","1","2","female",29,1,0,26,"N","S","21-30","15-31","Mrs.",2,"SmallFam"
"135","0","2","male",25,0,0,13,"N","S","21-30","8-15","Mr.",1,"Single"
"136","0","2","male",23,0,0,15.0458,"N","C","21-30","15-31","Mr.",1,"Single"
"137","1","1","female",19,0,2,26.2833,"D","S","11-20","15-31","Miss.",3,"SmallFam"
"138","0","1","male",37,1,0,53.1,"C","S","31-40","31-99","Mr.",2,"SmallFam"
"139","0","3","male",16,0,0,9.2167,"N","S","11-20","8-15","Mr.",1,"Single"
"140","0","1","male",24,0,0,79.2,"B","C","21-30","31-99","Mr.",1,"Single"
"141","0","3","female",27,0,2,15.2458,"N","C","21-30","15-31","Mrs.",3,"SmallFam"
"142","1","3","female",22,0,0,7.75,"N","S","21-30","0-8","Miss.",1,"Single"
"143","1","3","female",24,1,0,15.85,"N","S","21-30","15-31","Mrs.",2,"SmallFam"
"144","0","3","male",19,0,0,6.75,"N","Q","11-20","0-8","Mr.",1,"Single"
"145","0","2","male",18,0,0,11.5,"N","S","11-20","8-15","Mr.",1,"Single"
"146","0","2","male",19,1,1,36.75,"N","S","11-20","31-99","Mr.",3,"SmallFam"
"147","1","3","male",27,0,0,7.7958,"N","S","21-30","0-8","Mr.",1,"Single"
"148","0","3","female",9,2,2,34.375,"N","S","0-10","31-99","Miss.",5,"MediumFam"
"149","0","2","male",36.5,0,2,26,"F","S","31-40","15-31","Mr.",3,"SmallFam"
"150","0","2","male",42,0,0,13,"N","S","41-50","8-15","Otros.",1,"Single"
"151","0","2","male",51,0,0,12.525,"N","S","51-60","8-15","Otros.",1,"Single"
"152","1","1","female",22,1,0,66.6,"C","S","21-30","31-99","Mrs.",2,"SmallFam"
"153","0","3","male",55.5,0,0,8.05,"N","S","51-60","8-15","Mr.",1,"Single"
"154","0","3","male",40.5,0,2,14.5,"N","S","41-50","8-15","Mr.",3,"SmallFam"
"155","0","3","male",28,0,0,7.3125,"N","S","21-30","0-8","Mr.",1,"Single"
"156","0","1","male",51,0,1,61.3792,"N","C","51-60","31-99","Mr.",2,"SmallFam"
"157","1","3","female",16,0,0,7.7333,"N","Q","11-20","0-8","Miss.",1,"Single"
"158","0","3","male",30,0,0,8.05,"N","S","21-30","8-15","Mr.",1,"Single"
"159","0","3","male",28,0,0,8.6625,"N","S","21-30","8-15","Mr.",1,"Single"
"160","0","3","male",28,8,2,69.55,"N","S","21-30","31-99","Master.",11,"LargeFam"
"161","0","3","male",44,0,1,16.1,"N","S","41-50","15-31","Mr.",2,"SmallFam"
"162","1","2","female",40,0,0,15.75,"N","S","31-40","15-31","Mrs.",1,"Single"
"163","0","3","male",26,0,0,7.775,"N","S","21-30","0-8","Mr.",1,"Single"
"164","0","3","male",17,0,0,8.6625,"N","S","11-20","8-15","Mr.",1,"Single"
"165","0","3","male",1,4,1,39.6875,"N","S","0-10","31-99","Master.",6,"LargeFam"
"166","1","3","male",9,0,2,20.525,"N","S","0-10","15-31","Master.",3,"SmallFam"
"167","1","1","female",27,0,1,55,"E","S","21-30","31-99","Mrs.",2,"SmallFam"
"168","0","3","female",45,1,4,27.9,"N","S","41-50","15-31","Mrs.",6,"LargeFam"
"169","0","1","male",28,0,0,25.925,"N","S","21-30","15-31","Mr.",1,"Single"
"170","0","3","male",28,0,0,56.4958,"N","S","21-30","31-99","Mr.",1,"Single"
"171","0","1","male",61,0,0,33.5,"B","S","61-70","31-99","Mr.",1,"Single"
"172","0","3","male",4,4,1,29.125,"N","Q","0-10","15-31","Master.",6,"LargeFam"
"173","1","3","female",1,1,1,11.1333,"N","S","0-10","8-15","Miss.",3,"SmallFam"
"174","0","3","male",21,0,0,7.925,"N","S","21-30","0-8","Mr.",1,"Single"
"175","0","1","male",56,0,0,30.6958,"A","C","51-60","15-31","Mr.",1,"Single"
"176","0","3","male",18,1,1,7.8542,"N","S","11-20","0-8","Mr.",3,"SmallFam"
"177","0","3","male",28,3,1,25.4667,"N","S","21-30","15-31","Master.",5,"MediumFam"
"178","0","1","female",50,0,0,28.7125,"C","C","41-50","15-31","Miss.",1,"Single"
"179","0","2","male",30,0,0,13,"N","S","21-30","8-15","Mr.",1,"Single"
"180","0","3","male",36,0,0,14,"N","S","31-40","8-15","Mr.",1,"Single"
"181","0","3","female",27,8,2,69.55,"N","S","21-30","31-99","Miss.",11,"LargeFam"
"182","0","2","male",28,0,0,15.05,"N","C","21-30","15-31","Mr.",1,"Single"
"183","0","3","male",9,4,2,31.3875,"N","S","0-10","31-99","Master.",7,"LargeFam"
"184","1","2","male",1,2,1,39,"F","S","0-10","31-99","Master.",4,"MediumFam"
"185","1","3","female",4,0,2,22.025,"N","S","0-10","15-31","Miss.",3,"SmallFam"
"186","0","1","male",28,0,0,50,"A","S","21-30","31-99","Mr.",1,"Single"
"187","1","3","female",27,1,0,15.5,"N","Q","21-30","15-31","Mrs.",2,"SmallFam"
"188","1","1","male",45,0,0,26.55,"N","S","41-50","15-31","Mr.",1,"Single"
"189","0","3","male",40,1,1,15.5,"N","Q","31-40","15-31","Mr.",3,"SmallFam"
"190","0","3","male",36,0,0,7.8958,"N","S","31-40","0-8","Mr.",1,"Single"
"191","1","2","female",32,0,0,13,"N","S","31-40","8-15","Mrs.",1,"Single"
"192","0","2","male",19,0,0,13,"N","S","11-20","8-15","Mr.",1,"Single"
"193","1","3","female",19,1,0,7.8542,"N","S","11-20","0-8","Miss.",2,"SmallFam"
"194","1","2","male",3,1,1,26,"F","S","0-10","15-31","Master.",3,"SmallFam"
"195","1","1","female",44,0,0,27.7208,"B","C","41-50","15-31","Mrs.",1,"Single"
"196","1","1","female",58,0,0,146.5208,"B","C","51-60","99-200","Miss.",1,"Single"
"197","0","3","male",28,0,0,7.75,"N","Q","21-30","0-8","Mr.",1,"Single"
"198","0","3","male",42,0,1,8.4042,"N","S","41-50","8-15","Mr.",2,"SmallFam"
"199","1","3","female",27,0,0,7.75,"N","Q","21-30","0-8","Miss.",1,"Single"
"200","0","2","female",24,0,0,13,"N","S","21-30","8-15","Miss.",1,"Single"
"201","0","3","male",28,0,0,9.5,"N","S","21-30","8-15","Mr.",1,"Single"
"202","0","3","male",28,8,2,69.55,"N","S","21-30","31-99","Mr.",11,"LargeFam"
"203","0","3","male",34,0,0,6.4958,"N","S","31-40","0-8","Mr.",1,"Single"
"204","0","3","male",45.5,0,0,7.225,"N","C","41-50","0-8","Mr.",1,"Single"
"205","1","3","male",18,0,0,8.05,"N","S","11-20","8-15","Mr.",1,"Single"
"206","0","3","female",2,0,1,10.4625,"G","S","0-10","8-15","Miss.",2,"SmallFam"
"207","0","3","male",32,1,0,15.85,"N","S","31-40","15-31","Mr.",2,"SmallFam"
"208","1","3","male",26,0,0,18.7875,"N","C","21-30","15-31","Mr.",1,"Single"
"209","1","3","female",16,0,0,7.75,"N","Q","11-20","0-8","Miss.",1,"Single"
"210","1","1","male",40,0,0,31,"A","C","31-40","15-31","Mr.",1,"Single"
"211","0","3","male",24,0,0,7.05,"N","S","21-30","0-8","Mr.",1,"Single"
"212","1","2","female",35,0,0,21,"N","S","31-40","15-31","Miss.",1,"Single"
"213","0","3","male",22,0,0,7.25,"N","S","21-30","0-8","Mr.",1,"Single"
"214","0","2","male",30,0,0,13,"N","S","21-30","8-15","Mr.",1,"Single"
"215","0","3","male",28,1,0,7.75,"N","Q","21-30","0-8","Mr.",2,"SmallFam"
"216","1","1","female",31,1,0,113.275,"D","C","31-40","99-200","Miss.",2,"SmallFam"
"217","1","3","female",27,0,0,7.925,"N","S","21-30","0-8","Miss.",1,"Single"
"218","0","2","male",42,1,0,27,"N","S","41-50","15-31","Mr.",2,"SmallFam"
"219","1","1","female",32,0,0,76.2917,"D","C","31-40","31-99","Miss.",1,"Single"
"220","0","2","male",30,0,0,10.5,"N","S","21-30","8-15","Mr.",1,"Single"
"221","1","3","male",16,0,0,8.05,"N","S","11-20","8-15","Mr.",1,"Single"
